47.99.109.174 - - [10/Aug/2019:01:48:22 -0700] "GET /config/ueditor/net/controller.ashx HTTP/1.1" 404 294 "http://www.secrepo.com/config/ueditor/net/controller.ashx" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" 
95.163.255.160 - - [10/Aug/2019:03:01:27 -0700] "GET /Datasets%20Description/HTML_Bro_log_1/app_stats.html HTTP/1.1" 200 1475 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" 
95.163.255.163 - - [10/Aug/2019:03:01:29 -0700] "GET /Datasets%20Description/Network/dhcp.html HTTP/1.1" 200 1345 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" 
95.163.255.183 - - [10/Aug/2019:03:01:30 -0700] "GET /Datasets%20Description/PE_malware/VirusShare.html HTTP/1.1" 200 1535 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" 
95.163.255.179 - - [10/Aug/2019:03:01:31 -0700] "GET /Datasets%20Description/Network/weird.html HTTP/1.1" 200 1529 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" 
47.98.190.113 - - [10/Aug/2019:03:09:36 -0700] "GET /script/Calendar.js HTTP/1.1" 404 294 "http://www.secrepo.com/script/Calendar.js" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0)" 
122.167.27.75 - - [10/Aug/2019:03:11:40 -0700] "GET / HTTP/1.1" 200 12431 "-" "WhatsApp/2.19.203 A" 
122.167.27.75 - - [10/Aug/2019:03:11:40 -0700] "GET /bootstrap/img/apple-touch-icon-114x114.png HTTP/1.1" 404 271 "-" "WhatsApp/2.19.203 A" 
223.227.21.221 - - [10/Aug/2019:03:12:37 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1" 
223.227.21.221 - - [10/Aug/2019:03:12:38 -0700] "GET /css/style.css HTTP/1.1" 404 294 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1" 
223.227.21.221 - - [10/Aug/2019:03:12:39 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1" 
223.227.21.221 - - [10/Aug/2019:03:12:39 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1" 
49.207.50.123 - - [10/Aug/2019:03:13:03 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15" 
49.207.50.123 - - [10/Aug/2019:03:13:03 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27787 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15" 
49.207.50.123 - - [10/Aug/2019:03:13:03 -0700] "GET /css/style.css HTTP/1.1" 404 294 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15" 
49.207.50.123 - - [10/Aug/2019:03:13:04 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15" 
223.227.21.221 - - [10/Aug/2019:03:13:11 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 624 "http://www.secrepo.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 12_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.1.1 Mobile/15E148 Safari/604.1" 
49.207.50.123 - - [10/Aug/2019:03:13:15 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 624 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.2 Safari/605.1.15" 
79.185.228.131 - - [10/Aug/2019:03:15:49 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36" 
79.185.228.131 - - [10/Aug/2019:03:15:50 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36" 
79.185.228.131 - - [10/Aug/2019:03:15:50 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27787 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36" 
79.185.228.131 - - [10/Aug/2019:03:15:50 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/75.0.3770.142 Safari/537.36" 
58.250.125.94 - - [10/Aug/2019:03:17:43 -0700] "GET /robots.txt HTTP/1.1" 200 251 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
58.250.125.94 - - [10/Aug/2019:03:17:43 -0700] "GET / HTTP/1.1" 200 12394 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
218.93.207.12 - - [10/Aug/2019:03:22:05 -0700] "GET / HTTP/1.1" 200 46605 "-" "Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)" 
113.171.224.176 - - [10/Aug/2019:03:22:12 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
123.30.175.238 - - [10/Aug/2019:03:32:09 -0700] "GET /robots.txt HTTP/1.1" 301 458 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
123.30.175.238 - - [10/Aug/2019:03:32:11 -0700] "GET /robots.txt HTTP/1.1" 200 251 "-" "Mozilla/5.0 (compatible; coccocbot-image/1.0; +http://help.coccoc.com/searchengine)" 
223.39.189.237 - - [10/Aug/2019:03:32:41 -0700] "GET / HTTP/1.1" 200 12431 "-" "Mozilla/5.0 (Linux; Android 9; SM-G955N Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.3770.143 Mobile Safari/537.36;KAKAOTALK 1908460" 
223.39.189.237 - - [10/Aug/2019:03:32:42 -0700] "GET /css/style.css HTTP/1.1" 404 271 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-G955N Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.3770.143 Mobile Safari/537.36;KAKAOTALK 1908460" 
223.39.189.237 - - [10/Aug/2019:03:32:42 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27810 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-G955N Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.3770.143 Mobile Safari/537.36;KAKAOTALK 1908460" 
223.39.189.237 - - [10/Aug/2019:03:32:42 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7450 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-G955N Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.3770.143 Mobile Safari/537.36;KAKAOTALK 1908460" 
223.39.189.237 - - [10/Aug/2019:03:32:45 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 624 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 9; SM-G955N Build/PPR1.180610.011; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/75.0.3770.143 Mobile Safari/537.36;KAKAOTALK 1908460" 
54.70.40.11 - - [10/Aug/2019:03:37:12 -0700] "GET / HTTP/1.1" 200 12387 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:38:10 -0700] "GET /Datasets%20Description/Network/dns.html HTTP/1.1" 200 1420 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:39:48 -0700] "GET /Datasets%20Description/Network/weird.html HTTP/1.1" 200 1522 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
162.242.144.71 - - [10/Aug/2019:03:40:17 -0700] "GET /robots.txt HTTP/1.1" 301 439 "-" "Tornado-Async-Client" 
162.242.144.71 - - [10/Aug/2019:03:40:17 -0700] "GET /robots.txt HTTP/1.1" 304 128 "-" "Tornado-Async-Client" 
162.242.144.71 - - [10/Aug/2019:03:40:17 -0700] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 301 481 "-" "Tornado-Async-Client" 
54.70.40.11 - - [10/Aug/2019:03:43:08 -0700] "GET / HTTP/1.1" 301 419 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:43:14 -0700] "GET /honeypot/Honeypot%20-%20Howto%20-%20BSides%20Austin.pdf HTTP/1.1" 200 2928438 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:43:44 -0700] "GET /Datasets%20Description/Network/files.html HTTP/1.1" 200 1409 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:45:35 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 1279396 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:47:14 -0700] "GET /Datasets%20Description/HTML_Bro_log_1 HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:48:53 -0700] "GET /Datasets%20Description/PE_malware/VirusShare.html HTTP/1.1" 200 1528 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:49:03 -0700] "GET /tg/tg_snort_fast.7z HTTP/1.1" 200 4274071 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:49:13 -0700] "GET /data HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:50:48 -0700] "GET /Datasets%20Description/HTML_Bro_log_2 HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:50:30 -0700] "GET /tg/tg_snort_full.7z HTTP/1.1" 200 8847772 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:51:58 -0700] "GET /Datasets%20Description/Network/ssl.html HTTP/1.1" 200 1462 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:52:22 -0700] "GET /Datasets%20Description/Network/dhcp.html HTTP/1.1" 200 1338 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:52:56 -0700] "GET /Datasets%20Description/Network/signatures.html HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:53:29 -0700] "GET /Datasets%20Description/PE_malware/Zeus.html HTTP/1.1" 200 1575 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:53:37 -0700] "GET /Datasets%20Description/HTML_Bro_log_1/ HTTP/1.1" 200 711 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:54:07 -0700] "GET /Datasets%20Description/HTML_Bro_log_2/ HTTP/1.1" 200 709 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:54:10 -0700] "GET /Datasets%20Description/HTML_Bro_log_3 HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
216.244.66.245 - - [10/Aug/2019:03:54:38 -0700] "GET /robots.txt HTTP/1.1" 200 244 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" 
54.70.40.11 - - [10/Aug/2019:03:54:56 -0700] "GET /self.logs/ HTTP/1.1" 200 17419 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:55:11 -0700] "GET /Datasets%20Description/Network/notice.html HTTP/1.1" 200 1527 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:55:12 -0700] "GET /Datasets%20Description/Network/http.html HTTP/1.1" 200 1586 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:55:50 -0700] "GET /Datasets%20Description/PE_malware/OPCleaver.html HTTP/1.1" 200 1335 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:55:56 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/ HTTP/1.1" 200 700 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:56:59 -0700] "GET /Datasets%20Description/Network/ftp.html HTTP/1.1" 200 1407 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:55:09 -0700] "GET /maccdc2012/maccdc2012_full_alert.7z HTTP/1.1" 200 18571200 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:57:50 -0700] "GET /Datasets%20Description/Network/tunnel.html HTTP/1.1" 200 1347 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:58:01 -0700] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 200 930788 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:58:12 -0700] "GET /Datasets%20Description/Network/smtp.html HTTP/1.1" 200 1514 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:57:50 -0700] "GET /maccdc2012/maccdc2012_fast_alert.7z HTTP/1.1" 200 9478127 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
54.70.40.11 - - [10/Aug/2019:03:59:13 -0700] "GET /Datasets%20Description/Network/ssh.html HTTP/1.1" 200 1245 "-" "Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)" 
216.244.66.245 - - [10/Aug/2019:04:14:58 -0700] "GET /self.logs/access.log.2018-01-26.gz HTTP/1.1" 200 36900 "-" "Mozilla/5.0 (compatible; DotBot/1.1; http://www.opensiteexplorer.org/dotbot, help@moz.com)" 
