182.131.31.33 - - [01/Jun/2023:02:38:32 -0700] "GET / HTTP/1.1" 200 13186 "http://www.secrepo.com" "Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E)" 
216.244.66.245 - - [01/Jun/2023:02:45:22 -0700] "GET /self.logs/access.log.2022-08-29.gz HTTP/1.1" 200 15728 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
40.77.167.146 - - [01/Jun/2023:02:46:59 -0700] "GET / HTTP/1.1" 200 13185 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
13.251.10.100 - - [01/Jun/2023:02:47:52 -0700] "GET /self.logs/2016/error.log.2016-03-19.gz HTTP/1.1" 200 609 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
196.200.131.130 - - [01/Jun/2023:02:48:27 -0700] "GET /self.logs/ HTTP/1.1" 200 43228 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" 
196.200.131.130 - - [01/Jun/2023:02:48:42 -0700] "GET /self.logs/access.log.2017-01-03.gz HTTP/1.1" 200 41164 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" 
196.200.131.130 - - [01/Jun/2023:02:49:43 -0700] "GET /self.logs/access.log.2017-01-04.gz HTTP/1.1" 200 33864 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:109.0) Gecko/20100101 Firefox/113.0" 
222.211.72.58 - - [01/Jun/2023:02:50:22 -0700] "GET / HTTP/1.1" 200 13185 "http://www.secrepo.com" "Mozilla/5.0 (Windows; U; Windows NT 6.1; ) AppleWebKit/534.12 (KHTML, like Gecko) Maxthon/3.0 Safari/534.12" 
13.213.82.226 - - [01/Jun/2023:02:50:47 -0700] "GET /self.logs/access.log.2019-01-23.gz HTTP/1.1" 200 22005 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
13.229.19.7 - - [01/Jun/2023:02:54:02 -0700] "GET /self.logs/access.log.2018-05-10.gz HTTP/1.1" 200 22340 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
196.191.221.37 - - [01/Jun/2023:02:49:50 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 200 1150800 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
196.191.221.37 - - [01/Jun/2023:02:49:50 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 206 1213800 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
196.191.221.37 - - [01/Jun/2023:02:49:51 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 206 742000 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36" 
18.138.201.210 - - [01/Jun/2023:02:57:02 -0700] "GET /self.logs/access.log.2023-01-26.gz HTTP/1.1" 200 51113 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
182.150.1.23 - - [01/Jun/2023:02:58:55 -0700] "GET / HTTP/1.1" 200 13185 "http://www.secrepo.com" "Mozilla/5.0 (Windows NT 10.0; \xe2\x80\xa6) Gecko/20100101 Firefox/73.0" 
18.140.221.203 - - [01/Jun/2023:03:00:08 -0700] "GET /self.logs/access.log.2022-06-24.gz HTTP/1.1" 200 11188 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
182.131.31.39 - - [01/Jun/2023:03:00:45 -0700] "GET / HTTP/1.1" 200 13185 "http://www.secrepo.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E; SE 2.X MetaSr 1.0)" 
18.141.16.84 - - [01/Jun/2023:03:03:22 -0700] "GET /self.logs/2016/access.log.2016-05-29.gz HTTP/1.1" 200 8173 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
182.131.31.38 - - [01/Jun/2023:03:05:24 -0700] "GET / HTTP/1.1" 200 13185 "http://www.secrepo.com" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.835.163 Safari/535.1" 
3.1.44.35 - - [01/Jun/2023:03:06:32 -0700] "GET /self.logs/access.log.2022-04-09.gz HTTP/1.1" 200 12508 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
52.74.251.33 - - [01/Jun/2023:03:09:44 -0700] "GET /self.logs/access.log.2018-06-12.gz HTTP/1.1" 200 25365 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:11:52 -0700] "GET /robots.txt HTTP/1.1" 200 333 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
52.221.176.214 - - [01/Jun/2023:03:12:54 -0700] "GET /self.logs/2016/access.log.2016-02-21.gz HTTP/1.1" 200 8047 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
222.211.72.55 - - [01/Jun/2023:03:15:27 -0700] "GET / HTTP/1.1" 200 13186 "http://www.secrepo.com" "Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/5.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; InfoPath.3; .NET4.0C; .NET4.0E)" 
54.179.50.78 - - [01/Jun/2023:03:15:56 -0700] "GET /self.logs/access.log.2019-09-18.gz HTTP/1.1" 200 27499 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:17:42 -0700] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 127717 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:18:10 -0700] "GET /maccdc2012/conn.log.gz HTTP/1.1" 200 220460 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:19:20 -0700] "GET /self.logs/2015/access.log.2015-02-04.gz HTTP/1.1" 200 3998 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
13.215.58.33 - - [01/Jun/2023:03:19:24 -0700] "GET /self.logs/access.log.2021-04-21.gz HTTP/1.1" 200 34865 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:19:43 -0700] "GET /self.logs/2015/access.log.2015-04-02.gz HTTP/1.1" 200 3336 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:20:05 -0700] "GET /self.logs/2015/access.log.2015-04-12.gz HTTP/1.1" 200 3124 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
42.194.142.159 - - [01/Jun/2023:03:20:15 -0700] "HEAD / HTTP/1.1" 200 388 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36" 
42.194.142.159 - - [01/Jun/2023:03:20:17 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36" 
42.194.142.159 - - [01/Jun/2023:03:20:17 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36" 
42.194.142.159 - - [01/Jun/2023:03:20:17 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36" 
42.194.142.159 - - [01/Jun/2023:03:20:17 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.71 Safari/537.36" 
216.244.66.245 - - [01/Jun/2023:03:20:25 -0700] "GET /self.logs/2015/error.log.2015-02-02.gz HTTP/1.1" 200 696 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:20:46 -0700] "GET /self.logs/2015/error.log.2015-04-25.gz HTTP/1.1" 200 1012 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:21:08 -0700] "GET /self.logs/2015/error.log.2015-07-16.gz HTTP/1.1" 200 702 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:21:27 -0700] "GET /self.logs/2015/error.log.2015-12-02.gz HTTP/1.1" 200 677 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:21:44 -0700] "GET /self.logs/2016/access.log.2016-03-07.gz HTTP/1.1" 200 9478 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:21:59 -0700] "GET /self.logs/2016/error.log.2016-01-01.gz HTTP/1.1" 200 595 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
18.136.22.74 - - [01/Jun/2023:03:22:03 -0700] "GET /self.logs/access.log.2019-01-23.gz HTTP/1.1" 200 22005 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:22:17 -0700] "GET /self.logs/2016/error.log.2016-01-13.gz HTTP/1.1" 200 530 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:22:32 -0700] "GET /self.logs/2016/error.log.2016-05-15.gz HTTP/1.1" 200 578 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:23:05 -0700] "GET /self.logs/2016/error.log.2016-08-24.gz HTTP/1.1" 200 1154 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:23:32 -0700] "GET /self.logs/2016/error.log.2016-09-07.gz HTTP/1.1" 200 1442 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:23:55 -0700] "GET /self.logs/access.log.2017-02-10.gz HTTP/1.1" 200 36524 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:24:37 -0700] "GET /self.logs/access.log.2017-06-08.gz HTTP/1.1" 200 19765 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:25:15 -0700] "GET /self.logs/access.log.2017-12-21.gz HTTP/1.1" 200 23968 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:25:48 -0700] "GET /self.logs/access.log.2018-11-21.gz HTTP/1.1" 200 68992 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
13.228.97.103 - - [01/Jun/2023:03:26:05 -0700] "GET /self.logs/access.log.2017-07-05.gz HTTP/1.1" 200 22850 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:26:38 -0700] "GET /self.logs/access.log.2018-12-10.gz HTTP/1.1" 200 24917 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:27:18 -0700] "GET /self.logs/access.log.2019-04-16.gz HTTP/1.1" 200 43570 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:27:47 -0700] "GET /self.logs/access.log.2019-04-18.gz HTTP/1.1" 200 33308 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:28:18 -0700] "GET /self.logs/access.log.2019-07-01.gz HTTP/1.1" 200 33850 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
18.141.157.55 - - [01/Jun/2023:03:28:24 -0700] "GET /self.logs/2016/access.log.2016-10-17.gz HTTP/1.1" 200 9224 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:29:08 -0700] "GET /self.logs/access.log.2019-07-31.gz HTTP/1.1" 200 24337 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
222.211.72.52 - - [01/Jun/2023:03:29:41 -0700] "GET / HTTP/1.1" 200 13186 "http://www.secrepo.com" "Mozilla/5.0 (Windows NT 10.0; \xe2\x80\xa6) Gecko/20100101 Firefox/73.0" 
216.244.66.245 - - [01/Jun/2023:03:29:47 -0700] "GET /self.logs/access.log.2021-01-09.gz HTTP/1.1" 200 28404 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
66.249.66.5 - - [01/Jun/2023:03:30:23 -0700] "GET /ads.txt HTTP/1.1" 301 489 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
216.244.66.245 - - [01/Jun/2023:03:30:37 -0700] "GET /self.logs/access.log.2021-04-23.gz HTTP/1.1" 200 20034 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:31:10 -0700] "GET /self.logs/access.log.2021-05-07.gz HTTP/1.1" 200 41955 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
18.142.84.108 - - [01/Jun/2023:03:31:25 -0700] "GET /self.logs/2016/error.log.2016-10-18.gz HTTP/1.1" 200 871 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:31:46 -0700] "GET /self.logs/access.log.2021-05-14.gz HTTP/1.1" 200 24851 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:32:16 -0700] "GET /self.logs/access.log.2021-07-09.gz HTTP/1.1" 200 20875 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:32:49 -0700] "GET /self.logs/access.log.2021-08-20.gz HTTP/1.1" 200 25234 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:33:16 -0700] "GET /self.logs/access.log.2021-09-08.gz HTTP/1.1" 200 17536 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:34:24 -0700] "GET /self.logs/access.log.2021-10-30.gz HTTP/1.1" 200 22523 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:34:54 -0700] "GET /self.logs/access.log.2022-02-02.gz HTTP/1.1" 200 18221 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:35:27 -0700] "GET /self.logs/access.log.2020-01-04.gz HTTP/1.1" 200 15695 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:36:05 -0700] "GET /self.logs/access.log.2020-04-13.gz HTTP/1.1" 200 12301 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:36:33 -0700] "GET /self.logs/access.log.2020-11-11.gz HTTP/1.1" 200 10899 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:37:11 -0700] "GET /self.logs/error.log.2017-05-06.gz HTTP/1.1" 200 831 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:37:40 -0700] "GET /self.logs/error.log.2017-12-06.gz HTTP/1.1" 200 3069 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
52.220.202.15 - - [01/Jun/2023:03:37:43 -0700] "GET /self.logs/2016/error.log.2016-11-29.gz HTTP/1.1" 200 1276 "-" "Mozilla/5.0 (Linux; Android 5.0) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; Bytespider; https://zhanzhang.toutiao.com/)" 
216.244.66.245 - - [01/Jun/2023:03:38:08 -0700] "GET /self.logs/error.log.2019-03-09.gz HTTP/1.1" 200 4665 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:38:38 -0700] "GET /self.logs/error.log.2019-03-26.gz HTTP/1.1" 200 5564 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
216.244.66.245 - - [01/Jun/2023:03:39:13 -0700] "GET /self.logs/error.log.2019-06-26.gz HTTP/1.1" 200 2337 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)" 
