111.167.203.53 - - [10/Sep/2022:02:16:32 -0700] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.66 Safari/537.36 SE 2.X MetaSr 1.0" 
165.22.104.55 - - [10/Sep/2022:04:36:46 -0700] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:46 -0700] "GET //website/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:47 -0700] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:47 -0700] "GET //news/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:47 -0700] "GET //2018/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:47 -0700] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:48 -0700] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:48 -0700] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:48 -0700] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:48 -0700] "GET //media/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:49 -0700] "GET //wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:49 -0700] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:49 -0700] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:36:49 -0700] "GET //sito/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:08 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:08 -0700] "GET / HTTP/1.1" 200 49133 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:09 -0700] "GET //wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:09 -0700] "GET //xmlrpc.php?rsd HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:10 -0700] "GET / HTTP/1.1" 200 49110 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:10 -0700] "GET //blog/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:10 -0700] "GET //web/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:10 -0700] "GET //wordpress/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:11 -0700] "GET //website/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:11 -0700] "GET //wp/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:11 -0700] "GET //news/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:11 -0700] "GET //2018/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:12 -0700] "GET //2019/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:12 -0700] "GET //shop/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:12 -0700] "GET //wp1/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:12 -0700] "GET //test/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:13 -0700] "GET //media/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:13 -0700] "GET //wp2/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:13 -0700] "GET //site/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:13 -0700] "GET //cms/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
165.22.104.55 - - [10/Sep/2022:04:37:14 -0700] "GET //sito/wp-includes/wlwmanifest.xml HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36" 
34.206.152.150 - - [10/Sep/2022:04:42:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:42:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:52:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:04:52:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
49.7.20.111 - - [10/Sep/2022:04:56:11 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
34.206.152.150 - - [10/Sep/2022:05:02:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:05:02:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
96.231.141.76 - - [10/Sep/2022:05:12:22 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" 
96.231.141.76 - - [10/Sep/2022:05:12:22 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" 
96.231.141.76 - - [10/Sep/2022:05:12:22 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" 
96.231.141.76 - - [10/Sep/2022:05:12:22 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" 
51.77.205.250 - - [10/Sep/2022:05:12:38 -0700] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 301 481 "-" "Tornado-Async-Client" 
96.231.141.76 - - [10/Sep/2022:05:12:50 -0700] "GET /honeypot/honeypot.json.zip HTTP/1.1" 200 23086087 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36" 
34.206.152.150 - - [10/Sep/2022:05:12:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
34.206.152.150 - - [10/Sep/2022:05:12:54 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
51.75.241.40 - - [10/Sep/2022:05:13:24 -0700] "GET /robots.txt HTTP/1.1" 200 340 "-" "INETDEX-BOT/1.5 (Mozilla/5.0; https://inetdex.com/; info at inetdex dot com)" 
51.75.241.40 - - [10/Sep/2022:05:13:24 -0700] "GET /Datasets%20Description/PE_malware/OPCleaver.html HTTP/1.1" 200 1421 "-" "INETDEX-BOT/1.5 (Mozilla/5.0; https://inetdex.com/; info at inetdex dot com)" 
34.206.152.150 - - [10/Sep/2022:05:22:54 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
