54.197.16.86 - - [19/Oct/2023:01:52:37 -0700] "GET / HTTP/1.1" 200 13143 "-" "Mozilla/5.0 (compatible; startmebot/1.0; +https://start.me/bot)" 
52.167.144.212 - - [19/Oct/2023:02:25:07 -0700] "GET /self.logs/error.log.2023-09-02.gz HTTP/1.1" 200 2413 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
107.20.105.74 - - [19/Oct/2023:02:26:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:02:26:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:02:36:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:02:36:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
66.249.70.64 - - [19/Oct/2023:02:37:32 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.106 - - [19/Oct/2023:02:37:32 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.106 - - [19/Oct/2023:02:37:34 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/117.0.5938.149 Safari/537.36" 
216.247.110.21 - - [19/Oct/2023:02:38:12 -0700] "GET /%EF%BC%8C HTTP/1.1" 301 425 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/11" 
216.247.110.21 - - [19/Oct/2023:02:38:13 -0700] "GET /%EF%BC%8C HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/11" 
14.139.61.158 - - [19/Oct/2023:02:43:44 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36" 
14.139.61.158 - - [19/Oct/2023:02:43:45 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36" 
14.139.61.158 - - [19/Oct/2023:02:43:45 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36" 
14.139.61.158 - - [19/Oct/2023:02:43:45 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36" 
14.139.61.158 - - [19/Oct/2023:02:43:47 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36" 
107.20.105.74 - - [19/Oct/2023:02:46:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:02:46:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:02:56:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:02:56:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
66.249.64.103 - - [19/Oct/2023:03:01:21 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.105 - - [19/Oct/2023:03:01:23 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/117.0.5938.149 Safari/537.36" 
107.20.105.74 - - [19/Oct/2023:03:06:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:03:06:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
116.179.33.82 - - [19/Oct/2023:03:08:36 -0700] "GET /robots.txt HTTP/1.1" 200 340 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" 
220.181.51.118 - - [19/Oct/2023:03:08:35 -0700] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 1279492 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36" 
219.230.71.158 - - [19/Oct/2023:03:11:10 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.46" 
219.230.71.158 - - [19/Oct/2023:03:11:11 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.46" 
219.230.71.158 - - [19/Oct/2023:03:11:11 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.46" 
219.230.71.158 - - [19/Oct/2023:03:11:11 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.46" 
45.143.223.62 - - [19/Oct/2023:03:11:12 -0700] "GET / HTTP/1.1" 301 438 "-" "-" 
45.143.223.62 - - [19/Oct/2023:03:11:12 -0700] "GET / HTTP/1.1" 200 49096 "-" "-" 
219.230.71.158 - - [19/Oct/2023:03:11:52 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 Edg/118.0.2088.46" 
107.20.105.74 - - [19/Oct/2023:03:16:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:03:16:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
44.192.33.131 - - [19/Oct/2023:03:17:10 -0700] "GET / HTTP/1.1" 200 13186 "-" "Iframely/1.3.1 (+https://iframely.com/docs/about) Atlassian" 
163.116.215.42 - - [19/Oct/2023:03:18:02 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 713 "https://nourl.atlassian.net/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:104.0) Gecko/20100101 Firefox/104.0" 
103.86.17.141 - - [19/Oct/2023:03:19:25 -0700] "GET / HTTP/1.1" 200 49089 "-" "Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.0; Win64; IA64; Trident/5.0)" 
94.23.209.55 - - [19/Oct/2023:03:20:12 -0700] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:13 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:15 -0700] "GET /%C2%A0%C2%A0 HTTP/1.1" 301 427 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:17 -0700] "GET /%C3%82%C2%A0%C3%82 HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:19 -0700] "GET /honeypot//%22http://amunhoney.sourceforge.net//%22 HTTP/1.1" 404 250 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:28 -0700] "GET /honeypot//%22http://glastopf.org//%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:33 -0700] "GET /honeypot//%22http://www.maxmind.com/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:39 -0700] "GET /honeypot//%22https://twitter.com/sooshie/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:45 -0700] "GET /honeypot//%22https://twitter.com/theroxyd/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:49 -0700] "GET /self.logs/ HTTP/1.1" 200 45858 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:20:59 -0700] "GET /%C2%A0 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
94.23.209.55 - - [19/Oct/2023:03:21:03 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
107.20.105.74 - - [19/Oct/2023:03:26:40 -0700] "HEAD / HTTP/1.1" 301 186 "-" "DreamHost SiteMonitor 1.0" 
107.20.105.74 - - [19/Oct/2023:03:26:40 -0700] "HEAD / HTTP/1.1" 200 359 "http://66.33.221.139" "DreamHost SiteMonitor 1.0" 
216.247.110.21 - - [19/Oct/2023:03:26:45 -0700] "GET /%EF%BC%8C HTTP/1.1" 404 284 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.131 Safari/537.36 SLBrowser/8.0.1.4031 SLBChan/11" 
216.247.110.21 - - [19/Oct/2023:03:26:58 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 
216.247.110.21 - - [19/Oct/2023:03:26:58 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27838 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 
216.247.110.21 - - [19/Oct/2023:03:26:59 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7512 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 
216.247.110.21 - - [19/Oct/2023:03:26:59 -0700] "GET /css/style.css HTTP/1.1" 404 284 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 
216.247.110.21 - - [19/Oct/2023:03:27:09 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 669 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36" 
202.63.172.228 - - [19/Oct/2023:03:29:08 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:09 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:10 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:11 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:13 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:13 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:15 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:15 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:17 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:18 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:19 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:20 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:21 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:22 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:24 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:24 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:26 -0700] "GET /include/vdimgck.php HTTP/1.1" 404 328 "-" "python-requests/2.31.0" 
202.63.172.228 - - [19/Oct/2023:03:29:26 -0700] "POST / HTTP/1.1" 200 13186 "-" "python-requests/2.31.0" 
