58.250.125.79 - - [23/Apr/2023:01:53:56 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
207.154.255.215 - - [23/Apr/2023:02:29:37 -0700] "GET /favicon.ico HTTP/1.1" 301 441 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36" 
207.154.255.215 - - [23/Apr/2023:02:29:37 -0700] "GET /favicon.ico HTTP/1.1" 200 313 "http://66.33.221.139:80/favicon.ico" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/68.0.3440.106 Safari/537.36" 
49.7.21.96 - - [23/Apr/2023:02:29:39 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
223.247.191.145 - - [23/Apr/2023:02:30:32 -0700] "GET /css/album.css HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
114.119.144.63 - - [23/Apr/2023:02:32:50 -0700] "GET /self.logs/error.log.2020-08-29 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.135.78 - - [23/Apr/2023:02:34:29 -0700] "GET /self.logs/error.log.2019-08-09 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
114.119.158.118 - - [23/Apr/2023:02:37:15 -0700] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 200 930921 "http://secrepo.com/" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
49.7.20.155 - - [23/Apr/2023:02:46:52 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
40.77.167.113 - - [23/Apr/2023:02:51:41 -0700] "GET /self.logs/ HTTP/1.1" 200 42562 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
51.222.253.10 - - [23/Apr/2023:02:55:43 -0700] "GET /self.logs/?C=M;O=A HTTP/1.1" 200 44247 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
114.119.156.110 - - [23/Apr/2023:02:58:16 -0700] "GET /self.logs/error.log.2020-12-15 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
223.247.134.132 - - [23/Apr/2023:02:59:13 -0700] "GET //index.php?m=admin&c=index&a=login&dosubmit=1 HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
114.119.146.215 - - [23/Apr/2023:03:04:26 -0700] "GET /self.logs/error.log.2020-12-13 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
223.247.153.113 - - [23/Apr/2023:03:11:23 -0700] "GET /css/album.css HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
51.222.253.6 - - [23/Apr/2023:03:14:15 -0700] "GET /Datasets%20Description/HTML_Bro_log_3/irc.html HTTP/1.1" 200 1740 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
61.135.159.190 - - [23/Apr/2023:03:22:42 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
193.56.29.26 - - [23/Apr/2023:03:24:03 -0700] "GET /.env HTTP/1.1" 301 483 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30" 
193.56.29.26 - - [23/Apr/2023:03:24:03 -0700] "POST / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Linux; U; Android 4.4.2; en-US; HM NOTE 1W Build/KOT49H) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/11.0.5.850 U3/0.8.0 Mobile Safari/534.30" 
61.135.159.191 - - [23/Apr/2023:03:29:43 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
223.240.123.145 - - [23/Apr/2023:03:31:36 -0700] "GET /css/album.css HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
49.7.21.96 - - [23/Apr/2023:03:39:54 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
194.38.20.254 - - [23/Apr/2023:03:40:17 -0700] "GET /index.php?option=com_acym&ctrl=frontmails&task=setNewIconShare HTTP/1.1" 301 607 "-" "ALittle Client" 
194.38.20.254 - - [23/Apr/2023:03:40:39 -0700] "GET /index.php?option=com_acym&ctrl=frontmails&task=setNewIconShare HTTP/1.1" 429 486 "-" "ALittle Client" 
31.94.66.158 - - [23/Apr/2023:03:41:10 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" 
31.94.66.158 - - [23/Apr/2023:03:41:10 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" 
31.94.66.158 - - [23/Apr/2023:03:41:10 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" 
31.94.66.158 - - [23/Apr/2023:03:41:10 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko)" 
49.7.20.155 - - [23/Apr/2023:03:58:03 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
114.119.143.233 - - [23/Apr/2023:03:59:49 -0700] "GET /self.logs/error.log.2020-03-01 HTTP/1.1" 200 351 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
223.247.191.145 - - [23/Apr/2023:04:00:22 -0700] "GET /data/admin/allowurl.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
123.125.109.88 - - [23/Apr/2023:04:11:54 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
131.153.142.170 - - [23/Apr/2023:04:20:33 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36" 
131.153.142.170 - - [23/Apr/2023:04:20:33 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36" 
157.55.39.253 - - [23/Apr/2023:04:25:12 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
111.230.241.104 - - [23/Apr/2023:04:39:59 -0700] "GET / HTTP/1.1" 301 419 "http://www.dongguanyumiaochang.cn" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
111.230.241.104 - - [23/Apr/2023:04:40:00 -0700] "GET / HTTP/1.1" 200 49089 "http://www.dongguanyumiaochang.cn" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
223.247.191.145 - - [23/Apr/2023:05:13:33 -0700] "GET /e/data/js/ajax.js HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
199.127.56.236 - - [23/Apr/2023:05:38:35 -0700] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.5481.77 Safari/537.36" 
199.127.56.236 - - [23/Apr/2023:05:38:35 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.5481.77 Safari/537.36" 
199.127.56.236 - - [23/Apr/2023:05:38:35 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.5481.77 Safari/537.36" 
199.127.56.236 - - [23/Apr/2023:05:38:35 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.5481.77 Safari/537.36" 
199.127.56.236 - - [23/Apr/2023:05:38:35 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27916 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.5481.77 Safari/537.36" 
223.247.153.113 - - [23/Apr/2023:05:39:12 -0700] "GET /data/admin/allowurl.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
223.247.153.113 - - [23/Apr/2023:05:47:29 -0700] "GET /e/data/js/ajax.js HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
223.240.123.145 - - [23/Apr/2023:05:47:48 -0700] "GET /e/data/js/ajax.js HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
116.50.59.203 - - [23/Apr/2023:05:49:50 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58" 
116.50.59.203 - - [23/Apr/2023:05:49:50 -0700] "GET /css/style.css HTTP/1.1" 404 250 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58" 
116.50.59.203 - - [23/Apr/2023:05:49:51 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7512 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58" 
116.50.59.203 - - [23/Apr/2023:05:49:51 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27872 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58" 
116.50.59.203 - - [23/Apr/2023:05:49:52 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 635 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36 Edg/112.0.1722.58" 
58.250.125.138 - - [23/Apr/2023:05:56:04 -0700] "GET / HTTP/1.1" 301 438 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
112.32.119.0 - - [23/Apr/2023:05:57:29 -0700] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.198 Safari/537.36" 
58.250.125.124 - - [23/Apr/2023:06:07:40 -0700] "GET / HTTP/1.1" 200 13148 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
49.7.20.155 - - [23/Apr/2023:06:12:40 -0700] "GET / HTTP/1.1" 200 13148 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
84.239.49.23 - - [23/Apr/2023:06:22:28 -0700] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 127717 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/102.0.0.0 Safari/537.36" 
223.240.123.145 - - [23/Apr/2023:06:42:54 -0700] "GET /data/admin/allowurl.txt HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
117.61.242.68 - - [23/Apr/2023:07:04:10 -0700] "GET /favicon.ico HTTP/1.1" 304 261 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" 
94.232.95.94 - - [23/Apr/2023:07:06:13 -0700] "GET /wp-login.php HTTP/1.1" 418 747 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" 
94.232.95.94 - - [23/Apr/2023:07:06:14 -0700] "GET / HTTP/1.1" 418 747 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" 
49.7.20.155 - - [23/Apr/2023:07:14:22 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
223.247.191.145 - - [23/Apr/2023:07:31:17 -0700] "GET /index.php?m=admin&c=index&a=login&dosubmit=1 HTTP/1.1" 404 328 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:48.0) Gecko/20100101 Firefox/48.0" 
203.86.233.113 - - [23/Apr/2023:07:56:09 -0700] "POST /?tag/index=&tag=%7Bpbohome/Indexot:if(1)((URL%5B-36%5D.URL%5B-35%5D.URL%5B-34%5D.URL%5B-33%5D.URL%5B-32%5D.URL%5B-31%5D.URL%5B-30%5D.URL%5B-29%5D.URL%5B-28%5D.URL%5B-27%5D.URL%5B-26%5D.URL%5B-25%5D.URL%5B-24%5D.URL%5B-23%5D.URL%5B-22%5D.URL%5B-21%5D.URL%5B-20%5D)((URL%5B-19%5D.URL%5B-18%5D.URL%5B-17%5D.URL%5B-16%5D.URL%5B-15%5D.URL%5B-14%5D.URL%5B-13%5D.URL%5B-12%5D.URL%5B-11%5D.URL%5B-10%5D.URL%5B-9%5D.URL%5B-8%5D.URL%5B-7%5D)((URL%5B-6%5D.URL%5B-5%5D.URL%5B-4%5D.URL%5B-3%5D)(URL%5B-2%5D)),(URL%5B-19%5D.URL%5B-18%5D.URL%5B-17%5D.URL%5B-16%5D.URL%5B-15%5D.URL%5B-14%5D.URL%5B-13%5D.URL%5B-12%5D.URL%5B-11%5D.URL%5B-10%5D.URL%5B-9%5D.URL%5B-8%5D.URL%5B-7%5D)((URL%5B-6%5D.URL%5B-5%5D.URL%5B-4%5D.URL%5B-3%5D)(URL%5B-1%5D))));//)%7D(123)%7B/pbhome/Indexoot:if%7D&tagstpl=news.html&file_put_contentsbase64_decodepost12 HTTP/1.1" 418 747 "-" "python-requests/2.27.1" 
49.7.20.155 - - [23/Apr/2023:08:12:14 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
61.135.159.203 - - [23/Apr/2023:08:16:07 -0700] "GET / HTTP/1.1" 200 13149 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
40.77.167.113 - - [23/Apr/2023:08:18:52 -0700] "GET /self.logs/2016/access.log.2016-01-01.gz HTTP/1.1" 304 280 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
52.167.144.175 - - [23/Apr/2023:08:29:46 -0700] "GET /self.logs/error.log.2018-09-11.gz HTTP/1.1" 200 7643 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36" 
95.2.8.11 - - [23/Apr/2023:08:29:57 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Linux; Android 10; SNE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36 EdgA/110.0.1587.66" 
95.2.8.11 - - [23/Apr/2023:08:29:57 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; SNE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36 EdgA/110.0.1587.66" 
95.2.8.11 - - [23/Apr/2023:08:29:59 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7556 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; SNE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36 EdgA/110.0.1587.66" 
95.2.8.11 - - [23/Apr/2023:08:29:59 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; SNE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36 EdgA/110.0.1587.66" 
95.2.8.11 - - [23/Apr/2023:08:30:04 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "http://www.secrepo.com/" "Mozilla/5.0 (Linux; Android 10; SNE-LX1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Mobile Safari/537.36 EdgA/110.0.1587.66" 
54.36.149.70 - - [23/Apr/2023:08:31:18 -0700] "GET /robots.txt HTTP/1.1" 200 333 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
51.77.204.24 - - [23/Apr/2023:08:42:07 -0700] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 301 481 "-" "Tornado-Async-Client" 
51.77.204.24 - - [23/Apr/2023:08:42:07 -0700] "GET /honeypot/BSidesDFW%20-%202014.ipynb HTTP/1.1" 200 930877 "-" "Tornado-Async-Client" 
212.7.203.10 - - [23/Apr/2023:08:44:05 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.113 Safari/537.36" 
51.222.253.13 - - [23/Apr/2023:08:55:30 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
61.135.159.156 - - [23/Apr/2023:09:02:32 -0700] "GET / HTTP/1.1" 301 438 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
184.170.174.5 - - [23/Apr/2023:09:07:13 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" 
206.47.249.246 - - [23/Apr/2023:09:11:38 -0700] "GET /self.logs/error.log.2019-04-23.gz HTTP/1.1" 304 280 "-" "Mozilla/4.0 (compatible;)" 
49.7.20.155 - - [23/Apr/2023:09:12:50 -0700] "GET / HTTP/1.1" 200 13148 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
115.205.180.204 - - [23/Apr/2023:09:20:07 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Mobile/15E148 Safari/604.1" 
115.205.180.204 - - [23/Apr/2023:09:20:07 -0700] "GET /apple-touch-icon-120x120-precomposed.png HTTP/1.1" 404 328 "-" "MobileSafari/8615.1.26.10.24 CFNetwork/1406.0.4 Darwin/22.4.0" 
115.205.180.204 - - [23/Apr/2023:09:20:08 -0700] "GET /apple-touch-icon-120x120.png HTTP/1.1" 404 305 "-" "MobileSafari/8615.1.26.10.24 CFNetwork/1406.0.4 Darwin/22.4.0" 
115.205.180.204 - - [23/Apr/2023:09:20:08 -0700] "GET /apple-touch-icon-precomposed.png HTTP/1.1" 404 305 "-" "MobileSafari/8615.1.26.10.24 CFNetwork/1406.0.4 Darwin/22.4.0" 
115.205.180.204 - - [23/Apr/2023:09:20:08 -0700] "GET /apple-touch-icon.png HTTP/1.1" 404 305 "-" "MobileSafari/8615.1.26.10.24 CFNetwork/1406.0.4 Darwin/22.4.0" 
115.205.180.204 - - [23/Apr/2023:09:20:08 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "-" "MobileSafari/8615.1.26.10.24 CFNetwork/1406.0.4 Darwin/22.4.0" 
197.14.244.108 - - [23/Apr/2023:09:47:11 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36" 
197.14.244.108 - - [23/Apr/2023:09:47:12 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/110.0.0.0 Safari/537.36" 
