157.55.39.10 - - [02/Oct/2024:00:44:26 -0700] "GET /self.logs/error.log.2021-11-18.gz HTTP/1.1" 200 3547 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
13.232.13.216 - - [02/Oct/2024:01:04:42 -0700] "GET /chosen.php?p= HTTP/1.1" 429 486 "-" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36" 
51.222.253.12 - - [02/Oct/2024:01:05:31 -0700] "GET /Datasets%20Description/PE_malware/?C=N;O=A HTTP/1.1" 200 642 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
157.55.39.58 - - [02/Oct/2024:01:05:50 -0700] "GET /self.logs/access.log.2024-07-15.gz HTTP/1.1" 200 49384 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
52.169.158.10 - - [02/Oct/2024:01:16:17 -0700] "GET /wp-admin/css/colors/modern/baWMOqlmqm.php HTTP/1.1" 301 501 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:17 -0700] "GET /wp-admin/css/colors/modern/baWMOqlmqm.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:17 -0700] "GET /jindex.php HTTP/1.1" 301 439 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:17 -0700] "GET /jindex.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:17 -0700] "GET /wp-content/ovagwbtbi.php HTTP/1.1" 301 467 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:17 -0700] "GET /wp-content/ovagwbtbi.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /about/function.php HTTP/1.1" 301 455 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /about/function.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /admin/upload/css.php HTTP/1.1" 301 459 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /admin/upload/css.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /wp-admin/images/xmrlpc.php HTTP/1.1" 301 471 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /wp-admin/images/xmrlpc.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /reportes/wp-content/themes/e6rffsr5/fooster1337.php HTTP/1.1" 301 521 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /reportes/wp-content/themes/e6rffsr5/fooster1337.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /.well-known/acme-challenge/custom-plugin.php HTTP/1.1" 301 507 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /.well-known/acme-challenge/custom-plugin.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /wp-content/fonts/admin.php HTTP/1.1" 301 471 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /wp-content/fonts/admin.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:18 -0700] "GET /ufdqlzwb.php HTTP/1.1" 301 443 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /ufdqlzwb.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-admin/css/colors/blue/rk2.php HTTP/1.1" 301 483 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-admin/css/colors/blue/rk2.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-admin/dropdown.php HTTP/1.1" 301 461 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-admin/dropdown.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-content/themes/qxv62c0s/fooster1337.php HTTP/1.1" 301 503 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-content/themes/qxv62c0s/fooster1337.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wordpress/wp-content/plugins/erfd/ms-edit.php HTTP/1.1" 301 509 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wordpress/wp-content/plugins/erfd/ms-edit.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-includes/pomo/infos.php HTTP/1.1" 301 471 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /wp-includes/pomo/infos.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:19 -0700] "GET /yumhbntb.php HTTP/1.1" 301 443 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /yumhbntb.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /system.php HTTP/1.1" 301 439 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /system.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /wp-admin/network HTTP/1.1" 301 451 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /wp-admin/network HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET //wp-content/plugins/download-plugin/wp-access.php HTTP/1.1" 301 515 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /wp-content/plugins/download-plugin/wp-access.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /site/ynz.PhP7 HTTP/1.1" 301 445 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /site/ynz.PhP7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /wp-content/plugins/fix/sxx.php HTTP/1.1" 301 479 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /wp-content/plugins/fix/sxx.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /bs.php7 HTTP/1.1" 301 433 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:20 -0700] "GET /bs.php7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /rsf.php HTTP/1.1" 301 433 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /rsf.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-admin/css/colors/blue/blkcicrg.php HTTP/1.1" 301 493 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-admin/css/colors/blue/blkcicrg.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-includes/ms-load-reference.php HTTP/1.1" 301 485 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-includes/ms-load-reference.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-admin/wp-1ogin_bak.php HTTP/1.1" 301 469 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-admin/wp-1ogin_bak.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-content/uploads/paste.myconan.net/ovavoucrt.php HTTP/1.1" 301 519 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-content/uploads/paste.myconan.net/ovavoucrt.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /valubil//wp-content/themes/seotheme/db.php HTTP/1.1" 301 501 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /valubil/wp-content/themes/seotheme/db.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:21 -0700] "GET /wp-content/themes/fex.php HTTP/1.1" 301 469 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-content/themes/fex.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-includes.bak/html-api/about.php HTTP/1.1" 301 487 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-includes.bak/html-api/about.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-content/themes/9xu60d0w/fooster1337.php HTTP/1.1" 301 503 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-content/themes/9xu60d0w/fooster1337.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /worm0.PhP7 HTTP/1.1" 301 439 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /worm0.PhP7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /assets/wp-login.php HTTP/1.1" 301 457 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /assets/wp-login.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-content/dir/fosil.php HTTP/1.1" 301 467 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-content/dir/fosil.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-content/plugins/ynz.PhP7 HTTP/1.1" 301 473 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:22 -0700] "GET /wp-content/plugins/ynz.PhP7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /wp-admin/css/about.php HTTP/1.1" 301 463 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /wp-admin/css/about.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /css/alfa-rex.php HTTP/1.1" 301 451 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /css/alfa-rex.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /wp-includes/admin.php.suspected HTTP/1.1" 418 691 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /wp-content/plugins/dzs-zoomsounds/1877.php HTTP/1.1" 301 503 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /wp-content/plugins/dzs-zoomsounds/1877.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /future-of-cloud-17/wp-content/plugins/fix/up.php HTTP/1.1" 301 515 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /future-of-cloud-17/wp-content/plugins/fix/up.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /wp-content/fex.php HTTP/1.1" 301 455 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:23 -0700] "GET /wp-content/fex.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-admin/js/ldigzw.php HTTP/1.1" 301 463 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-admin/js/ldigzw.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-includes/SimplePie/index.php HTTP/1.1" 301 481 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-includes/SimplePie/index.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /admin/uploads/worksec.php HTTP/1.1" 301 469 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /admin/uploads/worksec.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /text.php/cc.php HTTP/1.1" 301 449 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /text.php/cc.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-content/alfa-rex.php7 HTTP/1.1" 301 467 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-content/alfa-rex.php7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-includes/rest-api/ws.php.php HTTP/1.1" 301 481 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-includes/rest-api/ws.php.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:24 -0700] "GET /wp-content/themes/as/radio.php HTTP/1.1" 301 479 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /wp-content/themes/as/radio.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /.well-known/acme-challenge/license.php HTTP/1.1" 301 495 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /.well-known/acme-challenge/license.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /wp-content/upload.php HTTP/1.1" 301 461 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /wp-content/upload.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /text.php HTTP/1.1" 301 435 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /text.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /wordpress/ynz.PhP7 HTTP/1.1" 301 455 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /wordpress/ynz.PhP7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /avbxfstf.php HTTP/1.1" 301 443 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /avbxfstf.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /wp-includes/IXR/luuf.php HTTP/1.1" 301 467 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:25 -0700] "GET /wp-includes/IXR/luuf.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-admin/images/about.php HTTP/1.1" 301 469 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-admin/images/about.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-content/themes/about.php HTTP/1.1" 301 473 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-content/themes/about.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-includes/Text/alfa-rex.php7 HTTP/1.1" 301 479 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-includes/Text/alfa-rex.php7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wordpress/wp-content/plugins/erfd HTTP/1.1" 301 485 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wordpress/wp-content/plugins/erfd HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-includes/Text/ioxi002.PhP7 HTTP/1.1" 301 477 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /wp-includes/Text/ioxi002.PhP7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /cgi-bin/wp-2019.php HTTP/1.1" 301 457 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET /cgi-bin/wp-2019.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:26 -0700] "GET //gel4y.php HTTP/1.1" 301 437 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /gel4y.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /wp-blog.php HTTP/1.1" 301 441 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /wp-blog.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /wp-includes/block-patterns/themes.php HTTP/1.1" 301 493 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /wp-includes/block-patterns/themes.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /wp-content/ovaehukjx.php HTTP/1.1" 301 467 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /wp-content/ovaehukjx.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /modules/mod_simplefileuploadv1.3/elements/oizbojxn.php HTTP/1.1" 301 527 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /modules/mod_simplefileuploadv1.3/elements/oizbojxn.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /ioxi-rex4.php7 HTTP/1.1" 301 447 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /ioxi-rex4.php7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /uploads/ws.php.php HTTP/1.1" 301 455 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:27 -0700] "GET /uploads/ws.php.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /ALFA_DATA/admin.php HTTP/1.1" 301 457 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /ALFA_DATA/admin.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /.wp-cli/ioxi002.PhP7 HTTP/1.1" 301 459 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /.wp-cli/ioxi002.PhP7 HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /blog/wp-content/plugins/fix/sxx.php HTTP/1.1" 301 489 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /blog/wp-content/plugins/fix/sxx.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /wp-content/plugins/daeachprsl/wp-editor.php HTTP/1.1" 301 505 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /wp-content/plugins/daeachprsl/wp-editor.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /avaa.php HTTP/1.1" 301 435 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /avaa.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /wp-content/plugins/fix HTTP/1.1" 301 463 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /wp-content/plugins/fix HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:28 -0700] "GET /cgi-bin/fosil.php HTTP/1.1" 301 453 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /cgi-bin/fosil.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /wp-admin/css/colors/blue/blkjwaoc.php HTTP/1.1" 301 493 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /wp-admin/css/colors/blue/blkjwaoc.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /images/luuf.php HTTP/1.1" 301 449 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /images/luuf.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET //wp-admin/includes/about.php HTTP/1.1" 301 473 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /wp-admin/includes/about.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /wp-admin/includes/fex.php HTTP/1.1" 301 469 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /wp-admin/includes/fex.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /wp-includes/Text/Diff/Engine/index.php HTTP/1.1" 301 495 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /wp-includes/Text/Diff/Engine/index.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:29 -0700] "GET /bak.php HTTP/1.1" 301 433 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /bak.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /aks.php HTTP/1.1" 301 433 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /aks.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /.well-known/wp-2019.php HTTP/1.1" 301 465 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /.well-known/wp-2019.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /assets/css/403.php HTTP/1.1" 301 455 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /assets/css/403.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /tdgdesr.php HTTP/1.1" 301 441 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /tdgdesr.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /wp-content/plugins/cp-pro/js.php HTTP/1.1" 301 483 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /wp-content/plugins/cp-pro/js.php HTTP/1.1" 429 430 "-" "-" 
52.169.158.10 - - [02/Oct/2024:01:16:30 -0700] "GET /wp-content/plugins/pvqlmhl/qpusbhbw.php HTTP/1.1" 301 497 "-" "-" 
